distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas
15.90,5.4,25,21,7,,SP98,0,0,0,,
5.10,8.7,21,23.5,5,,SP98,0,0,0,,
22.40,4.9,66,20.5,7,,SP98,0,0,0,,
31.10,4.7,42,20.5,7,,SP98,0,0,0,,
4.90,6.3,27,20.5,3,,SP98,0,0,0,,
11.80,5.1,26,23,4,rain,SP98,0,1,0,,
22.90,6,42,23,4,rain,SP98,0,1,0,,
12.40,4.6,38,23,1,snow,SP98,0,1,0,,
12.90,5.8,40,23,4,,SP98,0,0,0,,
11.80,5.1,43,23,0,,SP98,0,0,0,,
12.20,5.8,58,23,2,,SP98,0,0,0,,
24.80,4.6,55,23,3,,SP98,0,0,0,,
14.20,5.6,24,23,8,,SP98,0,0,0,,
11.80,4.6,38,23,0,snow,SP98,0,1,0,,
12.20,6.3,57,23,0,snow,SP98,0,1,0,,
24.70,5.5,56,25,1,,SP98,0,0,0,,
6.80,4.3,46,24,2,,SP98,0,0,0,,
17.30,5.6,37,21.5,1,,SP98,0,0,0,,
11.80,4.3,44,21.5,-3,,SP98,0,0,0,,
15.90,5.7,46,21.5,5,,SP98,0,0,0,,
5.10,6.4,39,21.5,4,,SP98,0,0,0,,
16.10,4.5,33,21.5,6,,SP98,0,0,0,,
11.80,4.5,43,21.5,3,,SP98,0,0,0,,
4.20,6,26,21.5,5,,SP98,0,0,0,,
17.40,5.1,30,21.5,5,,SP98,0,0,0,,
23.50,6,25,21.5,5,rain,SP98,0,1,0,,
11.80,4.5,38,21.5,5,rain,SP98,0,1,0,,
12.30,6.1,61,21.5,10,rain,SP98,0,1,0,,
16.10,5.4,24,21.5,7,rain,E10,0,1,0,38,E10
11.80,4.3,40,21.5,10,rain,E10,0,1,0,,
12.30,5.4,58,21.5,13,,E10,0,0,0,,
12.40,4.3,49,21.5,17,,E10,0,0,0,,
7.00,5.2,25,21.5,17,,E10,0,0,0,,
11.80,4.1,37,21.5,10,,E10,0,0,0,,
20.10,4.4,41,21.5,18,,E10,0,0,0,,
20.80,4.5,45,21.5,10,,E10,0,0,0,,
1.70,10.8,14,21.5,10,rain,E10,0,1,0,,
35.90,4.7,45,21.5,12,,E10,0,0,0,,
36.90,4.8,52,21.5,5,,E10,0,0,0,,
16.80,4,46,21.5,8,,E10,0,0,0,,
9.90,5,28,21.5,9,,E10,0,0,0,,
22.90,4.6,61,21.5,7,rain,E10,0,1,0,,
17.30,5,61,21.5,6,AC rain,E10,1,1,0,,
11.80,4.3,37,21.5,7,,E10,0,0,0,,
36.60,5.2,80,21.5,7,rain,E10,0,1,0,,
44.90,4.7,62,21.5,8,,E10,0,0,0,,
11.80,4.2,34,21.5,9,rain,E10,0,1,0,,
21.60,5.3,44,21.5,9,rain,E10,0,1,0,,
39.40,5.3,60,21.5,9,rain,E10,0,1,0,,
5.10,8.1,39,21.5,4,,E10,0,0,0,,
26.60,4.8,38,21.5,7,,E10,0,0,0,,
53.20,5.1,71,21.5,2,,E10,0,0,0,,
18.90,4.4,53,21.5,2,,E10,0,0,0,,
43.50,5,80,21.5,3,,E10,0,0,0,,
6.10,6.3,26,21.5,5,,E10,0,0,0,,
16.40,4.8,49,21.5,5,,E10,0,0,0,,
12.30,6.1,40,21.5,6,,E10,0,0,0,,
21.10,4.6,36,21.5,8,,E10,0,0,0,,
21.10,4.8,43,21.5,7,,E10,0,0,0,,
22.70,4.7,55,21.5,6,,E10,0,0,0,,
44.40,4.8,38,21.5,8,,E10,0,0,0,"38,3",E10
35.80,4.4,51,21.5,6,,E10,0,0,0,,
11.80,4.9,44,21.5,0,,E10,0,0,0,,
26.20,4.9,42,21.5,6,,E10,0,0,0,,
40.60,4.4,44,21,3,,E10,0,0,0,,
12.40,5.3,38,21,-5,,E10,0,0,0,,
14.10,5.3,47,21,-3,,E10,0,0,0,,
58.70,4.8,75,21,0,,E10,0,0,0,,
16.20,5.2,29,21,0,,E10,0,0,0,,
12.30,4.9,50,22.5,0,,E10,0,0,0,,
12.30,7.1,52,22.5,0,AC snow,E10,1,1,0,,
12.40,5.2,51,22.5,1,,E10,0,0,0,,
31.80,4.7,59,22.5,3,,E10,0,0,0,,
12.30,5.1,55,22.5,8,,E10,0,0,0,,
51.60,5,73,22.5,12,,E10,0,0,0,,
38.60,4.6,44,22.5,10,,E10,0,0,0,,
12.30,4.8,41,22.5,7,,E10,0,0,0,,
81.20,4.4,69,22,13,,E10,0,0,0,,
130.30,4.6,85,22,12,,E10,0,0,0,,
67.20,4.3,67,22,18,,E10,0,0,0,,
43.70,4.7,44,22,9,half rain half sun,SP98,0,1,0,10,SP98
12.10,4.2,43,22,4,,SP98,0,0,0,39,SP98
56.10,4.8,82,22,13,,SP98,0,0,0,,
39.00,4.1,61,22,16,,SP98,0,0,0,,
11.80,4.5,41,21.5,13,,SP98,0,0,0,,
38.50,4.8,63,21.5,14,,SP98,0,0,0,,
28.20,4.6,54,21.5,14,,SP98,0,0,0,,
2.90,7.4,24,21.5,14,,SP98,0,0,0,,
6.10,5.6,24,21.5,13,,SP98,0,0,0,,
19.60,4.9,43,21.5,13,,SP98,0,0,0,,
22.20,3.8,42,,15,,SP98,0,0,0,,
13.60,4.5,44,19,18,,SP98,0,0,0,,
12.60,4.1,33,,17,,SP98,0,0,0,,
8.70,5.3,28,22.5,12,AC rain,SP98,1,1,0,,
7.90,4.7,31,22.5,12,AC,SP98,1,0,0,,
2.40,9,26,20,10,,SP98,0,0,0,,
4.90,6.3,26,20,10,,SP98,0,0,0,,
18.10,3.6,36,20,19,,SP98,0,0,0,,
25.90,3.7,39,20,21,,SP98,0,0,0,,
1.30,11.5,21,20,10,,SP98,0,0,0,,
14.10,5,22,20,12,,SP98,0,0,0,,
13.40,5.5,31,20,9,,SP98,0,0,0,,
6.40,4.7,33,20,8,,SP98,0,0,0,,
12.90,4.5,42,20,13,,SP98,0,0,0,,
